time,.layout.dim,fault,Fx,,Fy,,Fz,,Wx,,Wy,,Wz
1970/01/01/01:00:05.340000,[],0,-1.8231201579866805e-19,,-2.3061650721371215e-19,,-7.220160007476807,,7.641638609137213e-20,,-1.9510174348946945e-20,,-3.344601409281598e-20
1970/01/01/01:00:05.350000,[],0,-2.194036604202496e-19,,-1.739620928040398e-19,,-7.220160007476807,,6.829987666350015e-20,,-2.5469099471247994e-20,,-4.3661313379282276e-20
1970/01/01/01:00:05.360000,[],0,-1.5919466997267788e-19,,-1.7327688998881326e-19,,-7.220160007476807,,6.796733713255676e-20,,-1.727159904476684e-20,,-2.960845504371826e-20
1970/01/01/01:00:05.370000,[],0,-1.0017393739973567e-19,,-1.725880682584068e-19,,-7.220160007476807,,6.763465542994559e-20,,-9.236321337986982e-21,,-1.583369418385972e-20
1970/01/01/01:00:05.380000,[],0,-4.232360077007064e-20,,-1.7189575685979112e-19,,-7.220160007476807,,6.730186386740931e-20,,-1.3608258045942782e-21,,-2.332844207597564e-21
1970/01/01/01:00:05.390000,[],0,1.437395789401231e-20,,-1.712001108893311e-19,,-7.220160007476807,,6.696899475669061e-20,,6.357295789982727e-21,,1.0898221700453347e-20
1970/01/01/01:00:05.400000,[],0,-7.053083447434395e-20,,-2.239542911626335e-19,,-7.220160007476807,,7.511757682034463e-20,,-7.120079907172362e-21,,-1.2205850461644767e-20
1970/01/01/01:00:05.410000,[],0,-1.537304828672145e-19,,-2.756310040646002e-19,,-7.220160007476807,,8.309566920493322e-20,,-2.0327196149602056e-20,,-3.484662150915006e-20
1970/01/01/01:00:05.420000,[],0,-2.3525076074614634e-19,,-3.262466251864204e-19,,-7.220160007476807,,9.090589562396184e-20,,-3.3268137949374404e-20,,-5.703109178111368e-20
1970/01/01/01:00:05.430000,[],0,-3.1511711683967255e-19,,-3.7581731039943297e-19,,-7.220160007476807,,9.855082809214763e-20,,-4.59469329652142e-20,,-7.876616710473946e-20
1970/01/01/01:00:05.440000,[],0,-1.2484360396745524e-19,,-1.9386551883283469e-19,,-7.220160007476807,,6.772040433266407e-20,,-1.562407983117282e-20,,-2.6784137315035446e-20
1970/01/01/01:00:05.450000,[],0,6.16369174423399e-20,,-1.5533396925347428e-20,,-7.220160007476807,,3.749980978626243e-20,,1.4093876477306415e-20,,2.4160931103953854e-20
1970/01/01/01:00:05.460000,[],0,2.4438167148599537e-19,,1.5923363793434737e-19,,-7.220160007476807,,7.879880034925696e-21,,4.321606402753e-20,,7.408468026685878e-20
1970/01/01/01:00:05.470000,[],0,4.234470938532723e-19,,3.3048941549396387e-19,,-7.220160007476807,,-2.1148439479438028e-20,,7.175148810218226e-20,,1.2300254549315655e-19
1970/01/01/01:00:05.480000,[],0,5.988888447521075e-19,,4.982870352558317e-19,,-7.220160007476807,,-4.9594078914711335e-20,,9.970902958373819e-20,,1.7092976500069404e-19
1970/01/01/01:00:05.490000,[],0,7.707618799944476e-19,,6.626788422430891e-19,,-7.220160007476807,,-7.746584564415464e-20,,1.2709743849211496e-19,,2.178813379004223e-19
