====
Fx,Fy,Fz,Mx,My,Mz,m1,m2,m3,m4
-0.118188, 0.0947074, 0.0283278, 0.030253, -3.22923, -0.00045167, 0, 0, 0, 0
-0.123918, 0.102184, 0.0330703, 0.032732, -3.14903, -0.000432117, 0, 0, 0, 0
-0.128879, 0.106239, 0.0114404, -0.0214445, -3.20475, -0.000494368, 0, 0, 0, 0
-0.134899, 0.108208, 0.0163806, 0.00576908, -3.24085, -0.000512839, 0, 0, 0, 0
-0.13275, 0.107594, 0.0123975, 0.00355992, -3.243, -0.000521208, 0, 0, 0, 0
-0.137591, 0.112884, 0.0225063, 0.0172817, -3.20198, -0.000507268, 0, 0, 0, 0
-0.136963, 0.113416, 0.0120374, 0.00268227, -3.18812, -0.000508958, 0, 0, 0, 0
-0.145797, 0.120433, 0.0158804, 0.0287044, -3.1236, -0.000579297, 0, 0, 0, 0
-0.15774, 0.129278, 0.0135769, 0.00875068, -3.13599, -0.000614719, 0, 0, 0, 0
-0.163973, 0.131576, 0.0132459, 0.0236638, -3.15339, -0.000483987, 0, 0, 0, 0
-0.170344, 0.136891, 0.0023677, 0.012846, -3.16861, -0.000568793, 0, 0, 0, 0
-0.179657, 0.143128, 0.0141746, 0.0123153, -3.22037, -0.00062942, 0, 0, 0, 0
-0.173397, 0.140569, 0.0018439, 0.0148531, -3.20706, -0.000609431, 0, 0, 0, 0
-0.181035, 0.148581, 0.013859, 0.0179582, -3.17825, -0.000641272, 0, 0, 0, 0
-0.181445, 0.1498, 0.0121032, 0.0187312, -3.1597, -0.000589981, 0, 0, 0, 0
-0.192081, 0.158341, 0.0331837, 0.0638376, -3.08018, -0.000556554, 0, 0, 0, 0
-0.201912, 0.166983, 0.0230532, 0.0409152, -3.07476, -0.000646318, 0, 0, 0, 0
-0.207739, 0.168908, -0.00138259, -0.000667804, -3.1545, -0.000623738, 0, 0, 0, 0
-0.216934, 0.173583, 0.0175578, 0.0375207, -3.1509, -0.000664897, 0, 0, 0, 0
-0.221659, 0.180647, 0.00812284, 0.013904, -3.13886, -0.000673224, 0, 0, 0, 0
-0.226665, 0.185137, -0.00724985, 0.0176404, -3.11518, -0.00084717, 0, 0, 0, 0
-0.230765, 0.185388, -0.0248374, -0.0524302, -3.26583, -0.00102832, 0, 0, 0, 0
-0.228833, 0.183772, 0.0183644, 0.0655175, -3.13877, -0.000773355, 0, 0, 0, 0
-0.235235, 0.197658, 0.00453597, 0.0285337, -3.04418, -0.000843394, 0, 0, 0, 1
-0.226836, 0.169764, 0.140371, 0.290712, -2.97402, 0.0176113, 0, 0, 0, 1
-0.162734, 0.0744739, 0.533393, 1.63333, -1.67195, 0.0562297, 0, 0, 0, 1
-0.141202, 0.0887402, 0.683216, 2.17837, -0.285383, 0.0768616, 0, 0, 0, 1
