time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:08.000000,[],0,-1.4443500195955864e-19, -4.621107564549196e-19, -7.220160007476807, 9.019485633929009e-20, -2.724902251281305e-20, -4.67126114067542e-20
1970/01/01/01:00:08.010000,[],0,5.1800059748465155e-20, -3.537288738578822e-19, -7.220160007476807, 7.383375373557112e-20, 4.539802269618997e-21, 7.78251829188879e-21
1970/01/01/01:00:08.020000,[],0,2.441052380650378e-19, -2.4747923023545917e-19, -7.220160007476807, 5.779249214792314e-20, 3.569239752961419e-20, 6.118696996320227e-20
1970/01/01/01:00:08.030000,[],0,7.826060465410471e-20, -4.603983891893583e-19, -7.220160007476807, 9.059033914496993e-20, 9.088823079423986e-21, 1.5580838641534185e-20
1970/01/01/01:00:08.040000,[],0,-8.427495733979535e-20, -6.690130811812904e-19, -7.220160007476807, 1.2272316524126677e-19, -1.6983589941994936e-20, -2.911472515325214e-20
1970/01/01/01:00:08.050000,[],0,-2.4355138894614526e-19, -8.733886793290415e-19, -7.220160007476807, 1.5420107108757475e-19, -4.253285484682668e-20, -7.291346360531759e-20
1970/01/01/01:00:08.060000,[],0,-3.9961790741139194e-19, -1.0735893418288725e-18, -7.220160007476807, 1.8503399577594157e-19, -6.756688478085306e-20, -1.1582893795306406e-19
1970/01/01/01:00:08.070000,[],0,-2.124092408803514e-19, -1.1564747003630641e-18, -7.220160007476807, 2.0004987005910204e-19, -3.646305197952658e-20, -6.250808726137456e-20
1970/01/01/01:00:08.080000,[],0,-2.8923491335387534e-20, -1.2375866870615186e-18, -7.220160007476807, 2.1474541865005135e-19, -5.9776497771828646e-21, -1.0247399387229606e-20
1970/01/01/01:00:08.090000,[],0,1.5089543763996264e-19, -1.3169527022820268e-18, -7.220160007476807, 2.2912559170776774e-19, 2.3898640532766385e-20, 4.0969098979363594e-20
1970/01/01/01:00:08.100000,[],0,3.271028863673835e-19, -1.3945997327920733e-18, -7.220160007476807, 2.431952359936529e-19, 5.3175014872287283e-20, 9.115717112207043e-20
1970/01/01/01:00:08.110000,[],0,4.997534713855234e-19, -1.4705542483712596e-18, -7.220160007476807, 2.5695918534441143e-19, 8.186054637872377e-20, 1.4033236706705462e-19
1970/01/01/01:00:08.120000,[],0,5.146494432539549e-19, -1.4342508422499558e-18, -7.220160007476807, 2.5098239182840953e-19, 8.36890937462576e-20, 1.434670196971126e-19
1970/01/01/01:00:08.130000,[],0,5.291960347111593e-19, -1.3985299780750424e-18, -7.220160007476807, 2.451000261492094e-19, 8.547270194207506e-20, 1.4652462820792951e-19
1970/01/01/01:00:08.140000,[],0,5.433987775274831e-19, -1.3633836942331237e-18, -7.220160007476807, 2.393107958371039e-19, 8.721209474921215e-20, 1.4950644629512125e-19
1970/01/01/01:00:08.150000,[],0,5.572631000756961e-19, -1.3288040291108038e-18, -7.220160007476807, 2.3361343427178005e-19, 8.890797010131071e-20, 1.5241366303081837e-19
1970/01/01/01:00:08.160000,[],0,5.010381345756065e-19, -1.4038992074311241e-18, -7.220160007476807, 2.4459880639679054e-19, 8.007408182485358e-20, 1.3726986009604775e-19
