time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:06.130000,[],0,5.240070273310376e-19, -2.1819292649741337e-19, -7.220160007476807, 1.522653230513586e-20, 6.453351653939307e-20, 1.106288928816436e-19
1970/01/01/01:00:06.140000,[],0,3.7682486808431084e-19, -2.397543455911913e-19, -7.220160007476807, 1.920736162126718e-20, 4.1544823148049036e-20, 7.121970144119016e-20
1970/01/01/01:00:06.150000,[],0,2.3254869772705945e-19, -2.608605310047295e-19, -7.220160007476807, 2.3106650639163807e-20, 1.9011747946682595e-20, 3.2591568831791383e-20
1970/01/01/01:00:06.160000,[],0,9.113478554674321e-20, -2.8151851377323467e-19, -7.220160007476807, 2.6925644976505968e-20, -3.0725670301412312e-21, -5.267257939055018e-21
1970/01/01/01:00:06.160000,[],0,-4.7459952934324524e-20, -3.017351956849428e-19, -7.220160007476807, 3.066556601716689e-20, -2.471488846718436e-20, -4.2368381614247877e-20
1970/01/01/01:00:06.180000,[],0,-1.1005411867819288e-19, -3.5548461640681427e-19, -7.220160007476807, 4.019678370587756e-20, -3.2320434536632986e-20, -5.540645735927125e-20
1970/01/01/01:00:06.190000,[],0,-1.713853864218459e-19, -4.08123495457545e-19, -7.220160007476807, 4.9533355456696847e-20, -3.977063705639643e-20, -6.817822941466657e-20
1970/01/01/01:00:06.200000,[],0,-2.3147289764164595e-19, -4.596687641902982e-19, -7.220160007476807, 5.867824102525404e-20, -4.706785639927732e-20, -8.06877529041399e-20
1970/01/01/01:00:06.210000,[],0,-2.903355094706198e-19, -5.101372247112664e-19, -7.220160007476807, 6.763436462426149e-20, -5.421442547309698e-20, -9.293901509673768e-20
1970/01/01/01:00:06.220000,[],0,-4.2126998033042686e-19, -5.410970440754777e-19, -7.220160007476807, 7.309926258806378e-20, -7.518662055209866e-20, -1.2889134767149813e-19
1970/01/01/01:00:06.230000,[],0,-5.495436438041981e-19, -5.713836418186474e-19, -7.220160007476807, 7.844755393489023e-20, -9.573185472570374e-20, -1.6411175465111985e-19
1970/01/01/01:00:06.240000,[],0,-6.751968766455837e-19, -6.010073059996441e-19, -7.220160007476807, 8.36810287352852e-20, -1.1585660972949338e-19, -1.9861133835038697e-19
1970/01/01/01:00:06.250000,[],0,-7.982695127709571e-19, -6.299784280749131e-19, -7.220160007476807, 8.880147059744451e-20, -1.3556728975086633e-19, -2.324010718371129e-19
1970/01/01/01:00:06.260000,[],0,-9.188008949582027e-19, -6.58307141006958e-19, -7.220160007476807, 9.381062435547276e-20, -1.548701955796448e-19, -2.6549176015804905e-19
1970/01/01/01:00:06.270000,[],0,-7.039216022958885e-19, -5.720339608764789e-19, -7.220160007476807, 8.065153144059802e-20, -1.2056602037539626e-19, -2.0668460820420745e-19
1970/01/01/01:00:06.280000,[],0,-4.932695644552382e-19, -4.874290489451544e-19, -7.220160007476807, 6.7747552658862e-20, -8.69358810481048e-20, -1.4903293709322293e-19
1970/01/01/01:00:06.290000,[],0,-2.8678124362545017e-19, -4.0446753809581963e-19, -7.220160007476807, 5.509488168697725e-20, -5.396965109761518e-20, -9.251940188162602e-20
1970/01/01/01:00:06.300000,[],0,-8.439401318686616e-20, -3.2312476800646284e-19, -7.220160007476807, 4.26897542069218e-20, -2.165734619543994e-20, -3.712687734579746e-20
1970/01/01/01:00:06.310000,[],0,-1.4328981563791872e-20, -6.992065306326684e-20, -7.220160007476807, 1.7362793687816895e-21, -1.0308783620381856e-20, -1.7672200030486858e-20
1970/01/01/01:00:06.320000,[],0,8.181696430019988e-20, -1.580060889806216e-19, -7.220160007476807, 1.33656190727552e-20, 5.8931840545454734e-21, 1.0102601582560912e-20
1970/01/01/01:00:06.330000,[],0,-1.0102686400885441e-20, -2.288799966140219e-19, -7.220160007476807, 2.4293153986165895e-20, -8.652175921366123e-21, -1.4832301579484783e-20
1970/01/01/01:00:06.340000,[],0,-1.0018293298889718e-19, -2.983135630811172e-19, -7.220160007476807, 3.4999711314783456e-20, -2.2905763688174195e-20, -3.9267023003845153e-20
1970/01/01/01:00:06.350000,[],0,-1.8845155710018976e-19, -3.663286181952606e-19, -7.220160007476807, 4.548863613176861e-20, -3.6871989394857485e-20, -6.320912283051325e-20
1970/01/01/01:00:06.360000,[],0,-2.7493596555490253e-19, -4.3294674620056096e-19, -7.220160007476807, 5.576323069722303e-20, -5.0555201394186866e-20, -8.666605860969912e-20
1970/01/01/01:00:06.370000,[],0,-1.1320913416848645e-20, -6.14332927173932e-19, -7.220160007476807, 8.480023641581213e-20, -8.153894921943824e-21, -1.3978106734465936e-20
1970/01/01/01:00:06.380000,[],0,2.4702296257945375e-19, -7.920299343141048e-19, -7.220160007476807, 1.1324801811962498e-19, 3.3400199272873055e-20, 5.725748723736032e-20
1970/01/01/01:00:06.390000,[],0,5.001752817991372e-19, -9.660938091075798e-19, -7.220160007476807, 1.4111552616138334e-19, 7.41198742169835e-20, 1.2706264520759945e-19
1970/01/01/01:00:06.400000,[],0,7.482144874599006e-19, -1.1365798692578216e-18, -7.220160007476807, 1.684115687221412e-19, 1.1401774845369678e-19, 1.954589918100386e-19
1970/01/01/01:00:06.410000,[],0,9.912180760453826e-19, -1.3035424501913171e-18, -7.220160007476807, 1.9514484412302744e-19, 1.531062587727696e-19, 2.6246787218189075e-19
1970/01/01/01:00:06.420000,[],0,1.0319553770451238e-18, -1.33894236828856e-18, -7.220160007476807, 2.0047193896665722e-19, 1.593678479887341e-19, 2.732020140452324e-19
1970/01/01/01:00:06.430000,[],0,1.0717746109625077e-18, -1.3735004233173769e-18, -7.220160007476807, 2.0567244932717225e-19, 1.654882736632876e-19, 2.8369417973000813e-19
1970/01/01/01:00:06.440000,[],0,1.110690253458254e-18, -1.407230056962722e-18, -7.220160007476807, 2.1074837853261855e-19, 1.7146973299493217e-19, 2.939481173983686e-19
1970/01/01/01:00:06.450000,[],0,1.1487165733979293e-18, -1.440144297319243e-18, -7.220160007476807, 2.15701704061648e-19, 1.7731442318216994e-19, 3.0396757521246443e-19
1970/01/01/01:00:06.460000,[],0,1.2662850980285865e-18, -1.3137526506847889e-18, -7.220160007476807, 1.9681015256655275e-19, 1.9662538109722372e-19, 3.370720929592667e-19
1970/01/01/01:00:06.470000,[],0,1.3813754929416114e-18, -1.1897574496824775e-18, -7.220160007476807, 1.782767573519959e-19, 2.1553046475015246e-19, 3.6948079671454707e-19
1970/01/01/01:00:06.480000,[],0,1.4940260152403346e-18, -1.0681232289435455e-18, -7.220160007476807, 1.600961934427841e-19, 2.3403589092024737e-19, 4.012043622780862e-19
